City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,dakar,14.6937,-17.4441,72.48,94,0,6.91,SN,1680219409
211,sao filipe,14.8961,-24.4956,74.28,77,45,7.11,CV,1680219410
212,tarrafal,15.2833,-23.7667,72.39,82,26,12.03,CV,1680219410
213,nantucket,41.2835,-70.0995,39.34,47,0,5.75,US,1680219410
214,fortuna,40.5982,-124.1573,53.92,68,53,4.0,US,1680219769
215,dingle,10.9995,122.6711,81.34,76,93,9.42,PH,1680219801
216,manokwari,-0.8667,134.0833,82.2,74,98,6.02,ID,1680219917
217,banepa,27.6298,85.5214,55.13,76,40,2.3,NP,1680219411
218,bowen,-20.0167,148.2333,87.49,58,35,4.94,AU,1680219412
219,kaeo,-35.1,173.7833,68.32,63,22,7.65,NZ,1680219412
220,hambantota,6.1241,81.1185,73.67,95,3,2.68,LK,1680219412
221,laguna,38.421,-121.4238,60.94,56,75,11.5,US,1680219412
222,havre-saint-pierre,50.2334,-63.5986,32.0,93,100,13.8,CA,1680219412
223,buin,-33.7333,-70.75,79.43,19,5,3.85,CL,1680219413
224,dubbo,-32.25,148.6167,60.93,59,42,4.61,AU,1680219413
225,awbari,26.5921,12.7805,62.92,30,0,7.0,LY,1680219413
226,tabou,4.423,-7.3528,79.12,87,100,5.01,CI,1680219413
227,alice springs,-23.7,133.8833,62.15,94,100,13.8,AU,1680219414
228,kalabo,-14.97,22.6814,67.46,89,100,4.12,ZM,1680219251
229,nova olinda do norte,-3.8881,-59.0942,73.44,99,99,2.48,BR,1680219414
230,kigonsera,-10.8,35.05,62.67,98,100,2.46,TZ,1680219415
231,sibolga,1.7427,98.7792,74.43,84,100,3.42,ID,1680219415
232,kuusamo,65.9667,29.1833,15.84,62,0,12.66,FI,1680219416
233,chokurdakh,70.6333,147.9167,-1.98,94,100,9.17,RU,1680219919
234,kidal,18.4411,1.4078,78.67,8,0,16.2,ML,1680219416
235,russkiy aktash,55.0384,52.1214,33.19,79,99,13.13,RU,1680219416
236,pangnirtung,66.1451,-65.7125,5.4,97,100,1.79,CA,1680219749
237,aksarayskiy,46.7924,48.0119,38.98,59,100,17.22,RU,1680219417
238,chumikan,54.7183,135.315,28.49,86,71,9.42,RU,1680219417
